"","x"
"463",100
"464",150
"465",200
"466",250
"467",300
"468",350
"469",400
"470",450
"471",500
"472",550
"473",600
"474",650
"475",700
"476",750
"477",800
"478",850
"479",900
"480",950
"481",0
"482",50
"483",100
"484",150
"485",200
"486",250
"487",300
"488",350
"489",400
"490",450
"491",500
"492",550
"493",600
"494",650
"495",700
"496",750
"497",800
"498",850
"499",900
"500",950
"501",0
"502",50
"503",100
"504",150
"505",200
"506",250
"507",300
"508",350
"509",400
"510",450
"511",500
"512",550
"513",600
"514",650
"515",700
"516",750
"517",800
"518",850
"519",900
"520",950
"521",0
"522",50
"523",100
"524",150
"525",200
"526",250
"527",300
"528",350
"529",400
"530",450
"531",500
"532",550
"533",600
"534",650
"535",700
"536",750
"537",800
"538",850
"539",900
"540",950
"541",0
"542",50
"543",100
"544",150
"545",200
"546",250
"547",300
"548",350
"549",400
"550",450
"551",500
"552",550
"553",600
"554",650
"555",700
"556",750
"557",800
"558",850
"559",900
"560",950
"561",0
"562",50
"563",100
"564",150
"565",200
"566",250
"567",300
"568",350
"569",400
"570",450
"571",500
"572",550
"573",600
"574",650
"575",700
"576",750
"577",800
"578",850
"579",900
"580",950
"581",0
"582",50
"583",100
"584",150
"585",200
"586",250
"587",300
"588",350
"589",400
"590",450
"591",500
"592",550
"593",600
"594",650
"595",700
"596",750
"597",800
"598",850
"599",900
"600",950
"601",0
"602",50
"603",100
"604",150
"605",200
"606",250
"607",300
"608",350
"609",400
"610",450
"611",500
"612",550
"613",600
"614",650
"615",700
"616",750
"617",800
"618",850
"619",900
"620",950
"621",0
"622",50
"623",100
"624",150
"625",200
"626",250
"627",300
"628",350
"629",400
"630",450
"631",500
"632",550
"633",600
"634",650
"635",700
"636",750
"637",800
"638",850
"639",900
"640",950
"641",0
"642",50
"643",100
"644",150
"645",200
"646",250
"647",300
"648",350
"649",400
"650",450
"651",500
"652",550
"653",600
"654",650
"655",700
"656",750
"657",800
"658",850
"659",900
"660",950
"661",0
"662",50
"663",100
"664",150
"665",200
"666",250
"667",300
"668",350
"669",400
"670",450
"671",500
"672",550
"673",600
"674",650
"675",700
"676",750
"677",800
"678",850
"679",900
"680",950
"681",0
"682",50
"683",100
"684",150
"685",200
"686",250
"687",300
"688",350
"689",400
"690",450
"691",500
"692",550
"693",600
"694",650
"695",700
"696",750
"697",800
"698",850
"699",900
"700",950
"701",0
"702",50
"703",100
"704",150
"705",200
"706",250
"707",300
"708",350
"709",400
"710",450
"711",500
"712",550
"713",600
"714",650
"715",700
"716",750
"717",800
"718",850
"719",900
"720",950
"721",0
"722",50
"723",100
"724",150
"725",200
"726",250
"727",300
"728",350
"729",400
"730",450
"731",500
"732",550
"733",600
"734",650
"735",700
"736",750
"737",800
"738",850
"739",900
"740",950
"741",0
"742",50
"743",100
"744",150
"745",200
"746",250
"747",300
"748",350
"749",400
"750",450
"751",500
"752",550
"753",600
"754",650
"755",700
"756",750
"757",800
"758",850
"759",900
"760",950
"761",0
"762",50
"763",100
"764",150
"765",200
"766",250
"767",300
"768",350
"769",400
"770",450
"771",500
"772",550
"773",600
"774",650
"775",700
"776",750
"777",800
"778",850
"779",900
"780",950
"781",0
"782",50
"783",100
"784",150
"785",200
"786",250
"787",300
"788",350
"789",400
"790",450
"791",500
"792",550
"793",600
"794",650
"795",700
"796",750
"797",800
"798",850
"799",900
"800",950
"801",0
"802",50
"803",100
"804",150
"805",200
"806",250
"807",300
"808",350
"809",400
"810",450
"811",500
"812",550
"813",600
"814",650
"815",700
"816",750
"817",800
"818",850
"819",900
"820",950
"821",0
"822",50
"823",100
"824",150
"825",200
"826",250
"827",300
"828",350
"829",400
"830",450
"831",500
"832",550
"833",600
"834",650
"835",700
"836",750
"837",800
"838",850
"839",900
"840",950
"841",0
"842",50
"843",100
"844",150
"845",200
"846",250
"847",300
"848",350
"849",400
"850",450
"851",500
"852",550
"853",600
"854",650
"855",700
"856",750
"857",800
"858",850
"859",900
"860",950
"861",0
"862",50
"863",100
"864",150
"865",200
"866",250
"867",300
"868",350
"869",400
"870",450
"871",500
"872",550
"873",600
"874",650
"875",700
"876",750
"877",800
"878",850
"879",900
"880",950
"881",0
"882",50
"883",100
"884",150
"885",200
"886",250
"887",300
"888",350
"889",400
"890",450
"891",500
"892",550
"893",600
"894",650
"895",700
"896",750
"897",800
"898",850
"899",900
"900",950
"901",0
"902",50
"903",100
"904",150
"905",200
"906",250
"907",300
"908",350
"909",400
"910",450
"911",500
"912",550
"913",600
"914",650
"915",700
"916",750
"917",800
"918",850
"919",900
"920",950
"921",0
"922",50
"923",100
"924",150
"925",200
"926",250
"927",300
"928",350
"929",400
"930",450
"931",500
"932",550
"933",600
"934",650
"935",700
"936",750
"937",800
"938",850
"939",900
"940",950
"941",0
"942",50
"943",100
"944",150
"945",200
"946",250
"947",300
"948",350
"949",400
"950",450
"951",500
"952",550
"953",600
"954",650
"955",700
"956",750
"957",800
"958",850
"959",900
"960",950
"961",0
"962",50
"963",100
"964",150
"965",200
"966",250
"967",300
"968",350
"969",400
"970",450
"971",500
"972",550
"973",600
"974",650
"975",700
"976",750
"977",800
"978",850
"979",900
"980",950
"981",0
"982",50
"983",100
"984",150
"985",200
"986",250
"987",300
"988",350
"989",400
"990",450
"991",500
"992",550
"993",600
"994",650
"995",700
"996",750
"997",800
"998",850
"999",900
"1000",950
"1001",0
"1002",50
"1003",100
"1004",150
"1005",200
"1006",250
"1007",300
"1008",350
"1009",400
"1010",450
"1011",500
"1012",550
"1013",600
"1014",650
"1015",700
"1016",750
"1017",800
"1018",850
"1019",900
"1020",950
"1021",0
"1022",50
"1023",100
"1024",150
"1025",200
"1026",250
"1027",300
"1028",350
"1029",400
"1030",450
"1031",500
"1032",550
"1033",600
"1034",650
"1035",700
"1036",750
"1037",800
"1038",850
"1039",900
"1040",950
"1041",0
"1042",50
"1043",100
"1044",150
"1045",200
"1046",250
"1047",300
"1048",350
"1049",400
"1050",450
"1051",500
"1052",550
"1053",600
"1054",650
"1055",700
"1056",750
"1057",800
"1058",850
"1059",900
"1060",950
"1061",0
"1062",50
"1063",100
"1064",150
"1065",200
"1066",250
"1067",300
"1068",350
"1069",400
"1070",450
"1071",500
"1072",550
"1073",600
"1074",650
"1075",700
"1076",750
"1077",800
"1078",850
"1079",900
"1080",950
"1081",0
"1082",50
"1083",100
"1084",150
"1085",200
"1086",250
"1087",300
"1088",350
"1089",400
"1090",450
"1091",500
"1092",550
"1093",600
"1094",650
"1095",700
"1096",750
"1097",800
"1098",850
"1099",900
"1100",950
"1101",0
"1102",50
"1103",100
"1104",150
"1105",200
"1106",250
"1107",300
"1108",350
"1109",400
"1110",450
"1111",500
"1112",550
"1113",600
"1114",650
"1115",700
"1116",750
"1117",800
"1118",850
"1119",900
"1120",950
"1121",0
"1122",50
"1123",100
"1124",150
"1125",200
"1126",250
"1127",300
"1128",350
"1129",400
"1130",450
"1131",500
"1132",550
"1133",600
"1134",650
"1135",700
"1136",750
"1137",800
"1138",850
"1139",900
"1140",950
"1141",0
"1142",50
"1143",100
"1144",150
"1145",200
"1146",250
"1147",300
"1148",350
"1149",400
"1150",450
"1151",500
"1152",550
"1153",600
"1154",650
"1155",700
"1156",750
"1157",800
"1158",850
"1159",900
"1160",950
"1161",0
"1162",50
"1163",100
"1164",150
"1165",200
"1166",250
"1167",300
"1168",350
"1169",400
"1170",450
"1171",500
"1172",550
"1173",600
"1174",650
"1175",700
"1176",750
"1177",800
"1178",850
"1179",900
"1180",950
"1181",0
"1182",50
"1183",100
"1184",150
"1185",200
"1186",250
"1187",300
"1188",350
"1189",400
"1190",450
"1191",500
"1192",550
"1193",600
"1194",650
"1195",700
"1196",750
"1197",800
"1198",850
"1199",900
"1200",950
"1201",0
"1202",50
"1203",100
"1204",150
"1205",200
"1206",250
"1207",300
"1208",350
"1209",400
"1210",450
"1211",500
"1212",550
"1213",600
"1214",650
"1215",700
"1216",750
"1217",800
"1218",850
"1219",900
"1220",950
"1221",0
"1222",50
"1223",100
"1224",150
"1225",200
"1226",250
"1227",300
"1228",350
"1229",400
"1230",450
"1231",500
"1232",550
"1233",600
"1234",650
"1235",700
"1236",750
"1237",800
"1238",850
"1239",900
"1240",950
"1241",0
"1242",50
"1243",100
"1244",150
"1245",200
"1246",250
"1247",300
"1248",350
"1249",400
"1250",450
"1251",500
"1252",550
"1253",600
"1254",650
"1255",700
"1256",750
"1257",800
"1258",850
"1259",900
"1260",950
"1261",0
"1262",50
"1263",100
"1264",150
"1265",200
"1266",250
"1267",300
"1268",350
"1269",400
"1270",450
"1271",500
"1272",550
"1273",600
"1274",650
"1275",700
"1276",750
"1277",800
"1278",850
"1279",900
"1280",950
"1281",0
"1282",50
"1283",100
"1284",150
"1285",200
"1286",250
"1287",300
"1288",350
"1289",400
"1290",450
"1291",500
"1292",550
"1293",600
"1294",650
"1295",700
"1296",750
"1297",800
"1298",850
"1299",900
"1300",950
"1301",0
"1302",50
"1303",100
"1304",150
"1305",200
"1306",250
"1307",300
"1308",350
"1309",400
"1310",450
"1311",500
"1312",550
"1313",600
"1314",650
"1315",700
"1316",750
"1317",800
"1318",850
"1319",900
"1320",950
"1321",0
"1322",50
"1323",100
"1324",150
"1325",200
"1326",250
"1327",300
"1328",350
"1329",400
"1330",450
"1331",500
"1332",550
"1333",600
"1334",650
"1335",700
"1336",750
"1337",800
"1338",850
"1339",900
"1340",950
"1341",0
"1342",50
"1343",100
"1344",150
"1345",200
"1346",250
"1347",300
"1348",350
"1349",400
"1350",450
"1351",500
"1352",550
"1353",600
"1354",650
"1355",700
"1356",750
"1357",800
"1358",850
"1359",900
"1360",950
"1361",0
"1362",50
"1363",100
"1364",150
"1365",200
"1366",250
"1367",300
"1368",350
"1369",400
"1370",450
"1371",500
"1372",550
"1373",600
"1374",650
"1375",700
"1376",750
"1377",800
"1378",850
"1379",900
"1380",950
"1381",0
"1382",50
"1383",100
"1384",150
"1385",200
"1386",250
"1387",300
"1388",350
"1389",400
"1390",450
"1391",500
"1392",550
"1393",600
"1394",650
"1395",700
"1396",750
"1397",800
"1398",850
"1399",900
"1400",950
"1401",0
"1402",50
"1403",100
"1404",150
"1405",200
"1406",250
"1407",300
"1408",350
"1409",400
"1410",450
"1411",500
"1412",550
"1413",600
"1414",650
"1415",700
"1416",750
"1417",800
"1418",850
"1419",900
"1420",950
"1421",0
"1422",50
"1423",100
"1424",150
"1425",200
"1426",250
"1427",300
"1428",350
"1429",400
"1430",450
"1431",500
"1432",550
"1433",600
"1434",650
"1435",700
"1436",750
"1437",800
"1438",850
"1439",900
"1440",950
"1441",0
"1442",50
"1443",100
"1444",150
"1445",200
"1446",250
"1447",300
"1448",350
"1449",400
"1450",450
"1451",500
"1452",550
"1453",600
"1454",650
"1455",700
"1456",750
"1457",800
"1458",850
"1459",900
"1460",950
"1461",0
"1462",50
"1463",100
"1464",150
"1465",200
"1466",250
"1467",300
"1468",350
"1469",400
"1470",450
"1471",500
"1472",550
"1473",600
"1474",650
"1475",700
"1476",750
"1477",800
"1478",850
"1479",900
"1480",950
"1481",0
"1482",50
"1483",100
"1484",150
"1485",200
"1486",250
"1487",300
"1488",350
"1489",400
"1490",450
"1491",500
"1492",550
"1493",600
"1494",650
"1495",700
"1496",750
"1497",800
"1498",850
"1499",900
"1500",950
"1501",0
"1502",50
"1503",100
"1504",150
"1505",200
"1506",250
"1507",300
"1508",350
"1509",400
"1510",450
"1511",500
"1512",550
"1513",600
"1514",650
"1515",700
"1516",750
"1517",800
"1518",850
"1519",900
"1520",950
"1521",0
"1522",50
"1523",100
"1524",150
"1525",200
"1526",250
"1527",300
"1528",350
"1529",400
"1530",450
"1531",500
"1532",550
"1533",600
"1534",650
"1535",700
"1536",750
"1537",800
"1538",850
"1539",900
"1540",950
"1541",0
"1542",50
"1543",100
"1544",150
"1545",200
"1546",250
"1547",300
"1548",350
"1549",400
"1550",450
"1551",500
"1552",550
"1553",600
"1554",650
"1555",700
"1556",750
"1557",800
"1558",850
"1559",900
"1560",950
"1561",0
"1562",50
"1563",100
"1564",150
"1565",200
"1566",250
"1567",300
"1568",350
"1569",400
"1570",450
"1571",500
"1572",550
"1573",600
"1574",650
"1575",700
"1576",750
"1577",800
"1578",850
"1579",900
"1580",950
"1581",0
"1582",50
"1583",100
"1584",150
"1585",200
"1586",250
"1587",300
"1588",350
"1589",400
"1590",450
"1591",500
"1592",550
"1593",600
"1594",650
"1595",700
"1596",750
"1597",800
"1598",850
"1599",900
"1600",950
"1601",0
"1602",50
"1603",100
"1604",150
"1605",200
"1606",250
"1607",300
"1608",350
"1609",400
"1610",450
"1611",500
"1612",550
"1613",600
"1614",650
"1615",700
"1616",750
"1617",800
"1618",850
"1619",900
"1620",950
"1621",0
"1622",50
"1623",100
"1624",150
"1625",200
"1626",250
"1627",300
"1628",350
"1629",400
"1630",450
"1631",500
"1632",550
"1633",600
"1634",650
"1635",700
"1636",750
"1637",800
"1638",850
"1639",900
"1640",950
"1641",0
"1642",50
"1643",100
"1644",150
"1645",200
"1646",250
"1647",300
"1648",350
"1649",400
"1650",450
"1651",500
"1652",550
"1653",600
"1654",650
"1655",700
"1656",750
"1657",800
"1658",850
"1659",900
"1660",950
"1661",0
"1662",50
"1663",100
"1664",150
"1665",200
"1666",250
"1667",300
"1668",350
"1669",400
"1670",450
"1671",500
"1672",550
"1673",600
"1674",650
"1675",700
"1676",750
"1677",800
"1678",850
"1679",900
"1680",950
"1681",0
"1682",50
"1683",100
"1684",150
"1685",200
"1686",250
"1687",300
"1688",350
"1689",400
"1690",450
"1691",500
"1692",550
"1693",600
"1694",650
"1695",700
"1696",750
"1697",800
"1698",850
"1699",900
"1700",950
"1701",0
"1702",50
"1703",100
"1704",150
"1705",200
"1706",250
"1707",300
"1708",350
"1709",400
"1710",450
"1711",500
"1712",550
"1713",600
"1714",650
"1715",700
"1716",750
"1717",800
"1718",850
"1719",900
"1720",950
"1721",0
"1722",50
"1723",100
"1724",150
"1725",200
"1726",250
"1727",300
"1728",350
"1729",400
"1730",450
"1731",500
"1732",550
"1733",600
"1734",650
"1735",700
"1736",750
"1737",800
"1738",850
"1739",900
"1740",950
"1741",0
"1742",50
"1743",100
"1744",150
"1745",200
"1746",250
"1747",300
"1748",350
"1749",400
"1750",450
"1751",500
"1752",550
"1753",600
"1754",650
"1755",700
"1756",750
"1757",800
"1758",850
"1759",900
"1760",950
"1761",0
"1762",50
"1763",100
"1764",150
"1765",200
"1766",250
"1767",300
"1768",350
"1769",400
"1770",450
"1771",500
"1772",550
"1773",600
"1774",650
"1775",700
"1776",750
"1777",800
"1778",850
"1779",900
"1780",950
"1781",0
"1782",50
"1783",100
"1784",150
"1785",200
"1786",250
"1787",300
"1788",350
"1789",400
"1790",450
"1791",500
"1792",550
"1793",600
"1794",650
"1795",700
"1796",750
"1797",800
"1798",850
"1799",900
"1800",950
"1801",0
"1802",50
"1803",100
"1804",150
"1805",200
"1806",250
"1807",300
"1808",350
"1809",400
"1810",450
"1811",500
"1812",550
"1813",600
"1814",650
"1815",700
"1816",750
"1817",800
"1818",850
"1819",900
"1820",950
"1821",0
"1822",50
"1823",100
"1824",150
"1825",200
"1826",250
"1827",300
"1828",350
"1829",400
"1830",450
"1831",500
"1832",550
"1833",600
"1834",650
"1835",700
"1836",750
"1837",800
"1838",850
"1839",900
"1840",950
"1841",0
"1842",50
"1843",100
"1844",150
"1845",200
"1846",250
"1847",300
"1848",350
"1849",400
"1850",450
"1851",500
"1852",550
"1853",600
"1854",650
"1855",700
"1856",750
"1857",800
"1858",850
"1859",900
"1860",950
"1861",0
"1862",50
"1863",100
"1864",150
"1865",200
"1866",250
"1867",300
"1868",350
"1869",400
"1870",450
"1871",500
"1872",550
"1873",600
"1874",650
"1875",700
"1876",750
"1877",800
"1878",850
"1879",900
"1880",950
"1881",0
"1882",50
"1883",100
"1884",150
"1885",200
"1886",250
"1887",300
"1888",350
"1889",400
"1890",450
"1891",500
"1892",550
"1893",600
"1894",650
"1895",700
"1896",750
"1897",800
"1898",850
"1899",900
"1900",950
"1901",0
"1902",50
"1903",100
"1904",150
"1905",200
"1906",250
"1907",300
"1908",350
"1909",400
"1910",450
"1911",500
"1912",550
"1913",600
"1914",650
"1915",700
"1916",750
"1917",800
"1918",850
"1919",900
"1920",950
"1921",0
"1922",50
"1923",100
"1924",150
"1925",200
"1926",250
"1927",300
"1928",350
"1929",400
"1930",450
"1931",500
"1932",550
"1933",600
"1934",650
"1935",700
"1936",750
"1937",800
"1938",850
"1939",900
"1940",950
"1941",0
"1942",50
"1943",100
"1944",150
"1945",200
"1946",250
"1947",300
"1948",350
"1949",400
"1950",450
"1951",500
"1952",550
"1953",600
"1954",650
"1955",700
"1956",750
"1957",800
"1958",850
"1959",900
"1960",950
"1961",0
"1962",50
"1963",100
"1964",150
"1965",200
"1966",250
"1967",300
"1968",350
"1969",400
"1970",450
"1971",500
"1972",550
"1973",600
"1974",650
"1975",700
"1976",750
"1977",800
"1978",850
"1979",900
"1980",950
"1981",0
"1982",50
"1983",100
"1984",150
"1985",200
"1986",250
"1987",300
"1988",350
"1989",400
"1990",450
"1991",500
"1992",550
"1993",600
"1994",650
"1995",700
"1996",750
"1997",800
"1998",850
"1999",900
"2000",950
"2001",0
"2002",50
"2003",100
"2004",150
"2005",200
"2006",250
"2007",300
"2008",350
"2009",400
"2010",450
"2011",500
"2012",550
"2013",600
"2014",650
"2015",700
"2016",750
"2017",800
"2018",850
"2019",900
"2020",950
"2021",0
"2022",50
"2023",100
"2024",150
"2025",200
"2026",250
"2027",300
"2028",350
"2029",400
"2030",450
"2031",500
"2032",550
"2033",600
"2034",650
"2035",700
"2036",750
"2037",800
"2038",850
"2039",900
"2040",950
"2041",0
"2042",50
"2043",100
"2044",150
"2045",200
"2046",250
"2047",300
"2048",350
"2049",400
"2050",450
"2051",500
"2052",550
"2053",600
"2054",650
"2055",700
"2056",750
"2057",800
"2058",850
"2059",900
"2060",950
"2061",0
"2062",50
"2063",100
"2064",150
"2065",200
"2066",250
"2067",300
"2068",350
"2069",400
"2070",450
"2071",500
"2072",550
"2073",600
"2074",650
"2075",700
"2076",750
"2077",800
"2078",850
"2079",900
"2080",950
"2081",0
"2082",50
"2083",100
"2084",150
"2085",200
"2086",250
"2087",300
"2088",350
"2089",400
"2090",450
"2091",500
"2092",550
"2093",600
"2094",650
"2095",700
"2096",750
"2097",800
"2098",850
"2099",900
"2100",950
"2101",0
"2102",50
"2103",100
"2104",150
"2105",200
"2106",250
"2107",300
"2108",350
"2109",400
"2110",450
"2111",500
"2112",550
"2113",600
"2114",650
"2115",700
"2116",750
"2117",800
"2118",850
"2119",900
"2120",950
"2121",0
"2122",50
"2123",100
"2124",150
"2125",200
"2126",250
"2127",300
"2128",350
"2129",400
"2130",450
"2131",500
"2132",550
"2133",600
"2134",650
"2135",700
"2136",750
"2137",800
"2138",850
"2139",900
"2140",950
"2141",0
"2142",50
"2143",100
"2144",150
"2145",200
"2146",250
"2147",300
"2148",350
"2149",400
"2150",450
"2151",500
"2152",550
"2153",600
"2154",650
"2155",700
"2156",750
"2157",800
"2158",850
"2159",900
"2160",950
"2161",0
"2162",50
"2163",100
"2164",150
"2165",200
"2166",250
"2167",300
"2168",350
"2169",400
"2170",450
"2171",500
"2172",550
"2173",600
"2174",650
"2175",700
"2176",750
"2177",800
"2178",850
"2179",900
"2180",950
"2181",0
"2182",50
"2183",100
"2184",150
"2185",200
"2186",250
"2187",300
"2188",350
"2189",400
"2190",450
"2191",500
"2192",550
"2193",600
"2194",650
"2195",700
"2196",750
"2197",800
"2198",850
"2199",900
"2200",950
"2201",0
"2202",50
"2203",100
"2204",150
"2205",200
"2206",250
"2207",300
"2208",350
"2209",400
"2210",450
"2211",500
"2212",550
"2213",600
"2214",650
"2215",700
"2216",750
"2217",800
"2218",850
"2219",900
"2220",950
"2221",0
"2222",50
"2223",100
"2224",150
"2225",200
"2226",250
"2227",300
"2228",350
"2229",400
"2230",450
"2231",500
"2232",550
"2233",600
"2234",650
"2235",700
"2236",750
"2237",800
"2238",850
"2239",900
"2240",950
"2241",0
"2242",50
"2243",100
"2244",150
"2245",200
"2246",250
"2247",300
"2248",350
"2249",400
"2250",450
"2251",500
"2252",550
"2253",600
"2254",650
"2255",700
"2256",750
"2257",800
"2258",850
"2259",900
"2260",950
"2261",0
"2262",50
"2263",100
"2264",150
"2265",200
"2266",250
"2267",300
"2268",350
"2269",400
"2270",450
"2271",500
"2272",550
"2273",600
"2274",650
"2275",700
"2276",750
"2277",800
"2278",850
"2279",900
"2280",950
"2281",0
"2282",50
"2283",100
"2284",150
"2285",200
"2286",250
"2287",300
"2288",350
"2289",400
"2290",450
"2291",500
"2292",550
"2293",600
"2294",650
"2295",700
"2296",750
"2297",800
"2298",850
"2299",900
"2300",950
"2301",0
"2302",50
"2303",100
"2304",150
"2305",200
"2306",250
"2307",300
"2308",350
"2309",400
"2310",450
"2311",500
"2312",550
"2313",600
"2314",650
"2315",700
"2316",750
"2317",800
"2318",850
"2319",900
"2320",950
"2321",0
"2322",50
"2323",100
"2324",150
"2325",200
"2326",250
"2327",300
"2328",350
"2329",400
"2330",450
"2331",500
"2332",550
"2333",600
"2334",650
"2335",700
"2336",750
"2337",800
"2338",850
"2339",900
"2340",950
"2341",0
"2342",50
"2343",100
"2344",150
"2345",200
"2346",250
"2347",300
"2348",350
"2349",400
"2350",450
"2351",500
"2352",550
"2353",600
"2354",650
"2355",700
"2356",750
"2357",800
"2358",850
"2359",900
"2360",950
"2361",0
"2362",50
"2363",100
"2364",150
"2365",200
"2366",250
"2367",300
"2368",350
"2369",400
"2370",450
"2371",500
"2372",550
"2373",600
"2374",650
"2375",700
"2376",750
"2377",800
"2378",850
"2379",900
"2380",950
"2381",0
"2382",50
"2383",100
"2384",150
"2385",200
"2386",250
"2387",300
"2388",350
"2389",400
"2390",450
"2391",500
"2392",550
"2393",600
"2394",650
"2395",700
"2396",750
"2397",800
"2398",850
"2399",900
"2400",950
"2401",0
"2402",50
"2403",100
"2404",150
"2405",200
"2406",250
"2407",300
"2408",350
"2409",400
"2410",450
"2411",500
"2412",550
"2413",600
"2414",650
"2415",700
"2416",750
"2417",800
"2418",850
"2419",900
"2420",950
"2421",0
"2422",50
"2423",100
"2424",150
"2425",200
"2426",250
"2427",300
"2428",350
"2429",400
"2430",450
"2431",500
"2432",550
"2433",600
"2434",650
"2435",700
"2436",750
"2437",800
"2438",850
"2439",900
"2440",950
"2441",0
"2442",50
"2443",100
"2444",150
"2445",200
"2446",250
"2447",300
"2448",350
"2449",400
"2450",450
"2451",500
"2452",550
"2453",600
"2454",650
"2455",700
"2456",750
"2457",800
"2458",850
"2459",900
"2460",950
"2461",0
"2462",50
"2463",100
"2464",150
"2465",200
"2466",250
"2467",300
"2468",350
"2469",400
"2470",450
"2471",500
"2472",550
"2473",600
"2474",650
"2475",700
"2476",750
"2477",800
"2478",850
"2479",900
"2480",950
"2481",0
"2482",50
"2483",100
"2484",150
"2485",200
"2486",250
"2487",300
"2488",350
"2489",400
"2490",450
"2491",500
"2492",550
"2493",600
"2494",650
"2495",700
"2496",750
"2497",800
"2498",850
