"","x"
"463",100
"464",150
"465",200
"466",250
"467",300
"468",350
"469",400
"470",450
"471",500
"472",550
"473",600
"474",650
"475",700
"476",750
"477",800
"478",850
"479",900
"480",950
"481",0
"482",50
"483",100
"484",150
"485",200
"486",250
"487",300
"488",350
"489",400
"490",450
"491",500
"492",550
"493",600
"494",650
"495",700
"496",750
"497",800
"498",850
"499",900
"500",950
"501",0
"502",50
"503",100
"504",150
"505",200
"506",250
"507",300
"508",350
"509",400
"510",450
"511",500
"512",550
"513",600
"514",650
"515",700
"516",750
"517",800
"518",850
"519",900
"520",950
"521",0
"522",50
"523",100
"524",150
"525",200
"526",250
"527",300
"528",350
"529",400
"530",450
"531",500
"532",550
"533",600
"534",650
"535",700
"536",750
"537",800
"538",850
"539",900
"540",950
"541",0
"542",50
"543",100
"544",150
"545",200
"546",250
"547",300
"548",350
"549",400
"550",450
"551",500
"552",550
"553",600
"554",650
"555",700
"556",750
"557",800
"558",850
"559",900
"560",950
"561",0
"562",50
"563",100
"564",150
"565",200
"566",250
"567",300
"568",350
"569",400
"570",450
"571",500
"572",550
"573",600
"574",650
"575",700
"576",750
"577",800
"578",850
"579",900
"580",950
"581",0
"582",50
"583",100
"584",150
"585",200
"586",250
"587",300
"588",350
"589",400
"590",450
"591",500
"592",550
"593",600
"594",650
"595",700
"596",750
"597",800
"598",850
"599",900
"600",950
"601",0
"602",50
"603",100
"604",150
"605",200
"606",250
"607",300
"608",350
"609",400
"610",450
"611",500
"612",550
"613",600
"614",650
"615",700
"616",750
"617",800
"618",850
"619",900
"620",950
"621",0
"622",50
"623",100
"624",150
"625",200
"626",250
"627",300
"628",350
"629",400
"630",450
"631",500
"632",550
"633",600
"634",650
"635",700
"636",750
"637",800
"638",850
"639",900
"640",950
"641",0
"642",50
"643",100
"644",150
"645",200
"646",250
"647",300
"648",350
"649",400
"650",450
"651",500
"652",550
"653",600
"654",650
"655",700
"656",750
"657",800
"658",850
"659",900
"660",950
"661",0
"662",50
"663",100
"664",150
"665",200
"666",250
"667",300
"668",350
"669",400
"670",450
"671",500
"672",550
"673",600
"674",650
"675",700
"676",750
"677",800
"678",850
"679",900
"680",950
"681",0
"682",50
"683",100
"684",150
"685",200
"686",250
"687",300
"688",350
"689",400
"690",450
"691",500
"692",550
"693",600
"694",650
"695",700
"696",750
"697",800
"698",850
"699",900
"700",950
"701",0
"702",50
"703",100
"704",150
"705",200
"706",250
"707",300
"708",350
"709",400
"710",450
"711",500
"712",550
"713",600
"714",650
"715",700
"716",750
"717",800
"718",850
"719",900
"720",950
"721",0
"722",50
"723",100
"724",150
"725",200
"726",250
"727",300
"728",350
"729",400
"730",450
"731",500
"732",550
"733",600
"734",650
"735",700
"736",750
"737",800
"738",850
"739",900
"740",950
"741",0
"742",50
"743",100
"744",150
"745",200
"746",250
"747",300
"748",350
"749",400
"750",450
"751",500
"752",550
"753",600
"754",650
"755",700
"756",750
"757",800
"758",850
"759",900
"760",950
"761",0
"762",50
"763",100
"764",150
"765",200
"766",250
"767",300
"768",350
"769",400
"770",450
"771",500
"772",550
"773",600
"774",650
"775",700
"776",750
"777",800
"778",850
"779",900
"780",950
"781",0
"782",50
"783",100
"784",150
"785",200
"786",250
"787",300
"788",350
"789",400
"790",450
"791",500
"792",550
"793",600
"794",650
"795",700
"796",750
"797",800
"798",850
"799",900
"800",950
"801",0
"802",50
"803",100
"804",150
"805",200
"806",250
"807",300
"808",350
"809",400
"810",450
"811",500
"812",550
"813",600
"814",650
"815",700
"816",750
"817",800
"818",850
"819",900
"820",950
"821",0
"822",50
"823",100
"824",150
"825",200
"826",250
"827",300
"828",350
"829",400
"830",450
"831",500
"832",550
"833",600
"834",650
"835",700
"836",750
"837",800
"838",850
"839",900
"840",950
"841",0
"842",50
"843",100
"844",150
"845",200
"846",250
"847",300
"848",350
"849",400
"850",450
"851",500
"852",550
"853",600
"854",650
"855",700
"856",750
"857",800
"858",850
"859",900
"860",950
"861",0
"862",50
"863",100
"864",150
"865",200
"866",250
"867",300
"868",350
"869",400
"870",450
"871",500
"872",550
"873",600
"874",650
"875",700
"876",750
"877",800
"878",850
"879",900
"880",950
"881",0
"882",50
"883",100
"884",150
"885",200
"886",250
"887",300
"888",350
"889",400
"890",450
"891",500
"892",550
"893",600
"894",650
"895",700
"896",750
"897",800
"898",850
"899",900
"900",950
"901",0
"902",50
"903",100
"904",150
"905",200
"906",250
"907",300
"908",350
"909",400
"910",450
"911",500
"912",550
"913",600
"914",650
"915",700
"916",750
"917",800
"918",850
"919",900
"920",950
"921",0
"922",50
"923",100
"924",150
"925",200
"926",250
"927",300
"928",350
"929",400
"930",450
"931",500
"932",550
"933",600
"934",650
"935",700
"936",750
"937",800
"938",850
"939",900
"940",950
"941",0
"942",50
"943",100
"944",150
"945",200
"946",250
"947",300
"948",350
"949",400
"950",450
"951",500
"952",550
"953",600
"954",650
"955",700
"956",750
"957",800
"958",850
"959",900
"960",950
"961",0
"962",50
"963",100
"964",150
"965",200
"966",250
"967",300
"968",350
"969",400
"970",450
"971",500
"972",550
"973",600
"974",650
"975",700
"976",750
"977",800
"978",850
"979",900
"980",950
"981",0
"982",50
"983",100
"984",150
"985",200
"986",250
"987",300
"988",350
"989",400
"990",450
"991",500
"992",550
"993",600
"994",650
"995",700
"996",750
"997",800
"998",850
"999",900
"1000",950
